course_code,chunk
HIST*2450,"2.00 credits, including 0.50 credits in History at the 1000 level"
HIST*2500,2.00 credits
HIST*2510,2.00 credits
HIST*2600,2.00 credits
HIST*2820,2.00 credits
HIST*2850,2.00 credits
HORT*2450,"[BIOL*1090, (1 of BIOL*1050, BIOL*1070, BIOL*1080)]"
HORT*3010,"1 of AGR*2470, LARC*2240, 0.50 credits in Botany (BOT)"
HORT*3270,1 of BIOL*1050
HORT*3280,1 of AGR*2050
HORT*4380,1 of AGR*2470
HORT*4420,1 of AGR*2050
DHRT*3270,5.00 credits
DHRT*3510,4.00 credits
DHRT*3910,4.00 credits
HTM*2030,4.00 credits
HTM*2070,1 of HTM*1100
HTM*2740,2.00 credits
HTM*3030,9.00 credits
HTM*3060,"9.00 credits including (HTM*2010 or MCS*2000), (HTM*1160 or HTM*2100)"
HTM*3080,"9.00 credits including MCS*1000, (HTM*2010 or MCS*2000)"
HTM*3120,"(1 of ECON*2740, PSYC*1010, STAT*2040, STAT*2060, STAT*2080)"
HTM*3160,1 of HTM*1070
HTM*3180,1 of BUS*2090
HTM*3780,1 of FOOD*2010
HTM*4050,9.00 credits
HTM*4080,"14.00 credits and a minimum of 700 hours of verified work experience in the hospitality, sport and tourism industries"
HTM*4090,"14.00 credits including (1 of HTM*1000, HTM*1160, HTM*2020)"
HTM*4170,14.00 credits including HTM*3160
HTM*4190,"14.00 credits including ACCT*2230, HTM*3080"
HTM*4250,1 of FARE*3310
HHNS*3000,"9.00 credits including (1 of BIOL*1080, CREA*1000, FRHD*1100, ONEH*1000)"
HHNS*4230,12.00 credits
HHNS*4360,12.00 credits
HHNS*4371,12.00 credits
HHNS*4510,10.00 credits including BIOL*1080
HHNS*4511,10.00 credits including BIOL*1080
HHNS*6410,HHNS*6400 - Minimum grade 065
HK*2270,"4.00 credits including BIOL*1090, PHYS*1080"
HK*2500,5.00 credits including BIOL*1080
HK*3100,1 of BIOM*3200
HK*4070,1 of ENGG*2660
HROB*2200,2.00 credits
HROB*2290,1 of BUS*2090
HROB*3010,1 of BUS*3000
HROB*3030,"9.00 credits including (1 of BUS*3000, HROB*2100, HROB*2290, HROB*3000, PSYC*3070)"
HROB*3070,1 of BUS*3000
HROB*3090,1 of BUS*3000
HROB*3100,"9.00 credits including HROB*2010, (HROB*2090 or HROB*2100)"
