course_code,chunk
ECS*2070,ECS*1070
ECS*2070,ECS*2020
ECS*2100,ECS*1010
ECS*2100,(AHSS*2040 or ECS*1050)
ECS*3020,ECS*2040
ECS*3030,ECS*2040
ECS*3060,ECS*3030
ECS*3090,ECS*2000
ECS*3090,ECS*2100
ECS*3100,ECS*2070
ECS*3100,ECS*3010
ECON*2100,ECON*1050
ECON*2100,FARE*1040
ECON*2310,(ECON*1050 or FARE*1040)
ECON*2410,ECON*1100
ECON*2740,ECON*1100
ECON*2770,ECON*1100
ECON*3100,ECON*2310
ECON*3100,ECON*2410
ECON*3100,(ECON*2770 or MATH*1210)
ECON*3300,ECON*2310
ECON*3400,ECON*2310
ECON*3400,ECON*2200
ECON*3500,ECON*2310
ECON*3520,ECON*2310
ECON*3530,ECON*2310
ECON*3530,(ECON*2770 or MATH*1210)
ECON*3580,ECON*2310
ECON*3610,ECON*2310
ECON*3620,ECON*2310
ECON*3740,ECON*1100
ECON*3740,(ECON*1050 or FARE*1040)
ECON*3740,(ECON*2770 or MATH*1210)
ECON*3810,ECON*2410
ECON*3810,(ECON*2740 or STAT*2040)
ECON*3810,(ECON*2770 or MATH*1210)
ECON*3900,ECON*2310
ECON*3900,ECON*2410
ECON*3900,ECON*2740
ECON*3900,ECON*2770
ECON*4500,ECON*3740
ECON*4500,(ECON*3710 or ECON*3500)
ECON*4640,ECON*3740
ECON*4700,ECON*3710
ECON*4700,ECON*3740
ECON*4710,ECON*3710
ECON*4750,ECON*3710
ENGG*1210,MATH*1200
ENGG*1210,PHYS*1130
ENGG*1420,ENGG*1410
ENGG*2010,CHEM*1040
ENGG*2010,(MATH*1090 or MATH*1210)
ENGG*2120,PHYS*1130
ENGG*2120,(CHEM*1040 or CHEM*1140)
ENGG*2180,ENGG*2160
ENGG*2230,ENGG*1210
ENGG*2230,MATH*1210
ENGG*2340,ENGG*1210
ENGG*2400,ENGG*1210
ENGG*2400,ENGG*1500
ENGG*2400,MATH*1200
ENGG*2400,MATH*1210
ENGG*2400,PHYS*1010
ENGG*2410,PHYS*1130
ENGG*2450,PHYS*1010
ENGG*2560,CHEM*1050
ENGG*2560,MATH*2270
ENGG*2910,ENGG*1410
ENGG*2910,ENGG*1500
ENGG*2910,MATH*1210
ENGG*3010,BIOC*2580
ENGG*3010,CHEM*1050
ENGG*3010,ENGG*2010
ENGG*3020,ENGG*2010
ENGG*3040,ENGG*2340
ENGG*3040,ENGG*2450
ENGG*3040,ENGG*3410
ENGG*3050,ENGG*2410
ENGG*3050,ENGG*3380
ENGG*3060,ENGG*2120
ENGG*3060,ENGG*2160
ENGG*3060,ENGG*2340
ENGG*3060,ENGG*2450
ENGG*3070,ENGG*2120
ENGG*3080,ENGG*3260
ENGG*3090,ENGG*1410
ENGG*3090,ENGG*2450
ENGL*2080,ENGL*1080
ENGL*2120,ENGL*1080
ENGL*2130,ENGL*1080
ENGL*3000,ENGL*1080
ENVM*4500,ENVS*2230
DENM*2020,DENM*1120
DENM*3150,DEQN*2040
DENM*3150,DHRT*2230
DENM*3150,DHRT*3230
DENM*3200,DENM*2150
DENM*3200,DENM*3100
DENM*3210,DENM*2150
DENM*3210,DENM*3100
DENM*3230,DHRT*2160
DENM*3230,(DENM*3200 or DENM*3210)
DENM*3400,DENM*2000
DENM*4080,DENM*3200
DENM*4120,DENM*3120
ENVS*2030,MATH*1080
ENVS*2030,MATH*1200
ENVS*2030,PHYS*1070
ENVS*2030,PHYS*1080
ENVS*2030,PHYS*1130
ENVS*2030,PHYS*1300
ENVS*2040,BIOL*1040
ENVS*2080,BIOL*1070
ENVS*2080,BIOL*1090
ENVS*2090,BIOL*1070
ENVS*2090,BIOL*1090
ENVS*2090,CHEM*1050
ENVS*2090,MATH*1080
ENVS*2230,ENVM*1200
ENVS*2230,ENVS*1030
ENVS*2240,ENVS*1040
ENVS*2240,GEOG*1300
ENVS*2250,ENVS*1060
ENVS*2250,GEOL*1050
ENVS*2250,GEOL*1100
ENVS*2250,GEOG*1300
ENVS*2250,GEOG*1350
ENVS*2310,BIOL*1070
ENVS*2310,CHEM*1040
ENVS*2330,BIOL*1070
ENVS*2330,ENVM*1000
ENVS*2330,ENVM*1200
ENVS*2330,ENVS*1030
ENVS*3000,BIOL*2060
ENVS*3010,BIOL*2060
ENVS*3020,CHEM*1040
ENVS*3040,BIOL*1040
ENVS*3050,ENVS*2030
ENVS*3060,AGR*2320
ENVS*3060,ENVS*2060
ENVS*3080,ENVS*2060
ENVS*3080,SOIL*2010
ENVS*3090,BIOL*1040
ENVS*3140,HORT*2450
EQN*2080,EQN*1010
EQN*2200,EQN*1010
EQN*2500,EQN*2150
EQN*3020,EQN*3250
EQN*3020,NUTR*3210
EQN*3070,EQN*1010
EQN*3100,ACCT*2230
EQN*3100,EQN*2050
EQN*3100,EQN*3070
EQN*3100,CROP*3340
EQN*3250,ANSC*3080
DEQN*2030,DEQN*1020
DEQN*2150,DEQN*1150
DEQN*3050,DEQN*2040
DEQN*3210,DEQN*1020
