course_code,requisites
BIOM*3010,"1 of BIOL*1070, BIOL*1080, BIOL*1090 - Must be completed prior to taking this course."
BIOM*3040,"(BIOL*1070, BIOL*1090), (1 of BIOL*1080, BIOM*3200, HK*3810, HK*3940), (1of BIOM*3010, HK*3401, HK*3501, ZOO*2090) - Must be completed prior to taking this course."
BIOM*3090,"BIOC*2580, (1 of ANSC*3080, BIOM*3200, HK*3810, ZOO*3200, ZOO*3600) - Must be completed prior to taking this course."
BIOM*3200,BIOC*2580 - Must be completed prior to taking this course.
BIOM*3210,"7.50 credits including (1 of BIOL*1070, BIOL*1080, BIOL*1090) - Must be completed prior to taking this course."
BIOM*4030,"BIOC*2580, [1 of BIOM*3200, HK*3810, HK*3940, (ZOO*3200, ZOO*3210), ZOO*3600] - Must be completed prior to taking this course."
BIOM*4050,"1 of BIOM*3200, HK*3810, HK*3940 - Must be completed prior to taking this course."
BIOM*4070,"(MCB*2050 or MCB*2210), (1of ANSC*3080, BIOM*3200, HK*3810, HK*3940) - Must be completed prior to taking this course."
BIOM*4090,BIOM*3090 - Must be completed prior to taking this course.
BIOM*4110,"(1 of BIOM*3010, HK*3401, HK*3501, ZOO*2090), (1 of BIOM*3200, HK*3810, ZOO*3210, ZOO*3620) - Must be completed prior to taking this course."
BIOM*4150,"MBG*2040, MCB*2050, (1 of BIOM*3040, BIOM*4070, ZOO*3000) - Must be completed prior to taking this course."
BIOM*4180,"(1of BIOM*3200, HK*3810, HK*3940), (1 of BIOM*3010, HK*3401, HK*3501, ZOO*2090) - Must be completed prior to taking this course."
BIOM*4300,"14.00 credits including BIOL*1080, STAT*2040 - Must be completed prior to taking this course."
BIOM*4500,12.00 credits - Must be completed prior to taking this course.
BIOM*4522,BIOM*4521 - Must be completed prior to taking this course.
BIOT*6610,BIOT*6600 - Must be completed prior to taking this course.
BLCK*2000,2.00 credits - Must be completed prior to taking this course.
BLCK*2020,BLCK*1000 or BLCK*2000 - Must be completed prior to taking this course.
BLCK*3000,BLCK*2020 - Must be completed prior to taking this course.
BLCK*3010,BLCK*2020 - Must be completed prior to taking this course.
BOT*2000,BIOL*1050 or BIOL*1070 - Must be completed prior to taking this course.
BOT*2100,"2 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090 - Must be completed prior to taking this course."
BOT*3050,7.50 credits including BIOL*1070 - Must be completed prior to taking this course.
BOT*3310,"BIOL*1090, (BIOL*1070 or BIOL*1080) - Must be completed prior to taking this course."
BOT*3410,"2 of BIOL*1070, BIOL*1080, BIOL*1090 - Must be completed prior to taking this course."
BOT*4380,"BIOL*1090, BIOC*2580 - Must be completed prior to taking this course."
BUS*4560,BUS*4550 - Must be completed prior to taking this course.
BUS*6510,BUS*6320 Minimum grade 065; - Must be completed prior to taking this course.
BUS*6810,BUS*6800 - Must be taken either prior to or at the same time as this course.
BADM*2000,2.00 credits - Must be completed prior to taking this course.
BADM*2010,BADM*1050 or BADM*1060 - Must be completed prior to taking this course.
BADM*2030,"5.00 credits, BADM*1040 or MDST*1200 - Must be completed prior to taking this course."
BADM*2040,"5.00 credits, BADM*1040 - Must be completed prior to taking this course."
BADM*2050,"5.00 credits, including BADM*1100 - Must be completed prior to taking this course."
BADM*2060,"5.00 credits, SCMA*1000 - Must be completed prior to taking this course."
BADM*3030,"BADM*1040, BADM*2020 - Must be completed prior to taking this course."
BADM*3040,"10.00 credits including: AHSS*1000, AHSS*1010, BADM*3160 - Must be completed prior to taking this course."
BADM*3060,7.50 credits including: BADM*1010 - Must be completed prior to taking this course.
BADM*3090,"BADM*1010, BADM*3000 - Must be completed prior to taking this course."
BADM*3100,"10.00 credits including (BADM*1100, BADM*3210) - Must be completed prior to taking this course."
BADM*3110,7.50 credits - Must be completed prior to taking this course.
BADM*3120,"BADM*2010, (BADM*1050 or BADM*1060) - Must be completed prior to taking this course."
BADM*3130,BADM*3120 - Must be completed prior to taking this course.
BADM*3140,"10.00 credits including: AHSS*1000, AHSS*1010, BADM*3000 - Must be completed prior to taking this course."
BADM*3160,"SCMA*1000, BADM*3000 - Must be completed prior to taking this course."
BADM*3200,7.50 credits including: AHSS*1010 - Must be completed prior to taking this course.
BADM*3210,"10.00 credits, including BADM*1100 - Must be completed prior to taking this course."
BADM*3240,"BADM*2020, BADM*2030 - Must be completed prior to taking this course."
BADM*3270,BADM*3000 - Must be completed prior to taking this course.
CHEM*1050,CHEM*1040 - Must be completed prior to taking this course.
CHEM*1140,4U Chemistry (or equivalent) or CHEM*1060 - Must be completed prior to taking this course.
CHEM*1150,CHEM*1040 or CHEM*1140 - Must be completed prior to taking this course.
CHEM*2060,"CHEM*1050, [IPS*1500 or (MATH*1080 or MATH*1200), (1 of PHYS*1010, PHYS*1070, PHYS*1300)] - Must be completed prior to taking this course."
CHEM*2400,CHEM*1050 - Must be completed prior to taking this course.
CHEM*2480,CHEM*1050 - Must be completed prior to taking this course.
CHEM*2820,"CHEM*1050, (1 of IPS*1510, MATH*1090, MATH*1210, MATH*2080) - Must be completed prior to taking this course."
CHEM*2880,"CHEM*1050, (1 of IPS*1500, MATH*1080, MATH*1200) - Must be completed prior to taking this course."
CHEM*3360,CHEM*1050 - Must be completed prior to taking this course.
CHEM*3430,(CHEM*2400 or CHEM*2480) - Must be completed prior to taking this course.
CHEM*3440,CHEM*3430 - Must be completed prior to taking this course.
CHEM*3640,CHEM*2060 - Must be completed prior to taking this course.
CHEM*3650,CHEM*3640 - Must be completed prior to taking this course.
CHEM*3750,CHEM*2700 - Must be completed prior to taking this course.
CHEM*3860,"CHEM*2060, (MATH*2170 or MATH*2270) - Must be completed prior to taking this course."
CHEM*4020,"CHEM*3430, CHEM*3750 - Must be completed prior to taking this course."
CHEM*4400,CHEM*3430 - Must be completed prior to taking this course.
CHEM*4620,CHEM*2060 - Must be completed prior to taking this course.
CHEM*4630,"BIOC*2580, CHEM*3640 - Must be completed prior to taking this course."
CHEM*4720,CHEM*3750 - Must be completed prior to taking this course.
CHEM*4740,"BIOC*2580, CHEM*3750 - Must be completed prior to taking this course."
CHEM*4880,"CHEM*3860, (CHEM*2820 or PHYS*3240) - Must be completed prior to taking this course."
CHEM*4900,"5.00 credits in chemistry including 3 of CHEM*3430, CHEM*3640, CHEM*3650, CHEM*3750, CHEM*3760, CHEM*3860, CHEM*3870, CHEM*4020, NANO*3800 - Must be completed prior to taking this course."
CHIN*1210,CHIN*1200 - Must be completed prior to taking this course.
CHIN*1290,CHIN*1280 - Must be completed prior to taking this course.
CHIN*2200,CHIN*1210 - Must be completed prior to taking this course.
CHIN*2210,CHIN*2200 - Must be completed prior to taking this course.
CLAS*2350,CLAS*1000 or CLAS*2000 - Must be completed prior to taking this course.
CLAS*2360,LAT*2000 - Must be completed prior to taking this course.
CLAS*3020,"1 of CLAS*1000, CLAS*2000, HIST*2850 - Must be completed prior to taking this course."
CLAS*3030,CLAS*1000 or CLAS*2000 - Must be completed prior to taking this course.
CLAS*3040,CLAS*1000 or CLAS*2000 - Must be completed prior to taking this course.
CLAS*3060,LAT*2000 - Must be completed prior to taking this course.
CLAS*3070,GREK*2020 - Must be completed prior to taking this course.
CLAS*3090,GREK*2020 - Must be completed prior to taking this course.
CLAS*3120,LAT*2000 - Must be completed prior to taking this course.
CLAS*3500,"1 of CLAS*1000, CLAS*2000, HIST*2850 - Must be completed prior to taking this course."
CLAS*3700,10.00 credits including 1.50 credits in Classics. - Must be completed prior to taking this course.
CLAS*3900,"One of CLAS*1000, CLAS*2000, SXGN*1000 - Must be completed prior to taking this course."
CLAS*4010,LAT*2000 - Must be completed prior to taking this course.
CLAS*4150,1.50 credits in Classical Studies courses at the 3000 level - Must be completed prior to taking this course.
CLAS*4990,1.50 credits in Classical Studies at the 3000 level - Must be completed prior to taking this course.
CLIN*6440,CLIN*6420 - Must be completed prior to taking this course.
CSS*1030,AHSS*1190 or CSS*1190 - Must be completed prior to taking this course.
CSS*2010,3.00 credits including (CSS*1010 or FCSS*1010) - Must be completed prior to taking this course.
CSS*2020,3.00 credits including: (CSS*1020 or FCSS*1020) - Must be completed prior to taking this course.
CSS*2030,"3.00 credits, CSS*1000 or FCSS*1000 - Must be completed prior to taking this course."
CSS*2040,"1 of CSS*2000, CSS*2020, CSS*2070, FCSS*2000, FCSS*2020, FCSS*2070 - Must be completed prior to taking this course."
CSS*2060,"1 of CSS*2000, CSS*2070, FCSS*2000, FCSS*2070 - Must be completed prior to taking this course."
CSS*2080,3.00 credits - Must be completed prior to taking this course.
CSS*3010,5.00 credits - Must be completed prior to taking this course.
CSS*3020,7.50 credits - Must be completed prior to taking this course.
CSS*3030,AHSS*2080 or CSS*2050 - Must be completed prior to taking this course.
CSS*3040,"(CSS*2060 or FCSS*2060), (1 of CSS*2000, CSS*2070, FCSS*2000 or FCSS*2070) - Must be completed prior to taking this course."
CSS*3060,7.50 credits - Must be completed prior to taking this course.
CSS*3100,7.50 credits - Must be completed prior to taking this course.
CSS*3120,"(AHSS*2080 or CSS*2050), (CSS*2040 or FCSS*2040) - Must be completed prior to taking this course."
CSS*3130,(CSS*3120 or FCSS*3120) - Must be completed prior to taking this course.
CSS*4010,12.50 credits - Must be completed prior to taking this course.
CSS*4030,12.50 credits - Must be completed prior to taking this course.
CSS*4040,12.50 credits - Must be completed prior to taking this course.
CIS*2030,"CIS*1910, CIS*2500 - Must be completed prior to taking this course."
CIS*2170,"1 of CIS*1200, CIS*1300, CIS*1500 - Must be completed prior to taking this course."
CIS*2250,"CIS*1250, CIS*1300 - Must be completed prior to taking this course."
CIS*2430,CIS*2500 - Must be completed prior to taking this course.
CIS*2500,CIS*1300 - Must be completed prior to taking this course.
CIS*2750,"CIS*2520, (CIS*2430 or ENGG*1420) - Must be completed prior to taking this course."
CIS*2910,"(CIS*1300 or ENGG*1410), (CIS*1910 or ENGG*1500) - Must be completed prior to taking this course."
CIS*3090,"(CIS*2030 or ENGG*3640), CIS*3110 - Must be completed prior to taking this course."
CIS*3110,"CIS*2520, (CIS*2030 or ENGG*2410). - Must be completed prior to taking this course."
CIS*3120,"CIS*1910, CIS*2500 - Must be completed prior to taking this course."
CIS*3130,"CIS*2500, STAT*2040 - Must be completed prior to taking this course."
CIS*3150,"CIS*2750, CIS*3490 - Must be completed prior to taking this course."
CIS*3190,CIS*2500 or work experience in a related field. - Must be completed prior to taking this course.
CIS*3210,CIS*3110 - Must be completed prior to taking this course.
CIS*3250,"CIS*2250, CIS*2500 - Must be completed prior to taking this course."
CIS*3260,"CIS*2750, CIS*3250, CIS*3760 - Must be completed prior to taking this course."
CIS*3530,CIS*2520 - Must be completed prior to taking this course.
CIS*3700,"(CIS*3750 or CIS*3760), (CIS*2460 or STAT*2040) - Must be completed prior to taking this course."
CIS*3750,"9.00 credits including CIS*2520, (CIS*2430 or ENGG*1420) - Must be completed prior to taking this course."
CIS*3760,"CIS*2750, CIS*3750 - Must be completed prior to taking this course."
CIS*4010,CIS*3110 - Must be completed prior to taking this course.
COOP*1010,COOP*1110 - Must be completed prior to taking this course.
COOP*2020,Completion of previous co-op work requirements in COOP*1010 - Must be completed prior to taking this course.
COOP*3000,Completion of previous co-op work requirements in COOP*2000 - Must be completed prior to taking this course.
COOP*3030,Completion of previous co-op work requirements in COOP*2020 - Must be completed prior to taking this course.
COOP*4000,Completion of previous co-op work requirements in COOP*3000 - Must be completed prior to taking this course.
COOP*4040,Completion of previous co-op work requirements in COOP*3030 - Must be completed prior to taking this course.
COOP*G2,COOP*G1 - Must be completed prior to taking this course.
CREA*2010,CREA*1000 or CREA*1010 - Must be completed prior to taking this course.
CREA*3000,CREA*2010 - Must be completed prior to taking this course.
CREA*3010,CREA*3000 - Must be completed prior to taking this course.
CREA*4000,CREA*3010 - Must be completed prior to taking this course.
CREA*4010,CREA*4000 - Must be completed prior to taking this course.
CRWR*2000,2.00 credits - Must be completed prior to taking this course.
CRWR*2100,CRWR*1000 or ENGL*2920 - Must be completed prior to taking this course.
CRWR*2150,CRWR*1000 or ENGL*2920 - Must be completed prior to taking this course.
CRWR*2200,CRWR*1000 or ENGL*2920 - Must be completed prior to taking this course.
CRWR*2300,CRWR*1000 or ENGL*2920 - Must be completed prior to taking this course.
CRWR*2400,CRWR*1000 or ENGL*2920 - Must be completed prior to taking this course.
CRWR*3100,"1 of CRWR*2100, CRWR*2150, (ENGL*1080, ENGL*2920) - Must be completed prior to taking this course."
CRWR*3200,"CRWR*2200 or (ENGL*1080, ENGL*2920) - Must be completed prior to taking this course."
CRWR*3400,CRWR*2400 - Must be completed prior to taking this course.
CRWR*3500,CRWR*2400 or THST*2120 - Must be completed prior to taking this course.
CRWR*4300,CRWR*3300 - Must be completed prior to taking this course.
CRWR*4400,CRWR*3400 or CRWR*3500 - Must be completed prior to taking this course.
CRWR*4700,0.50 credits in CRWR at the 3000 level - Must be completed prior to taking this course.
IMPR*6510,IMPR*6500 - Must be completed prior to taking this course.
CROP*3300,AGR*2050 or AGR*2470 - Must be completed prior to taking this course.
CROP*3310,AGR*2050 or AGR*2470 - Must be completed prior to taking this course.
CROP*3340,"1 of AGR*2050, AGR*2320, AGR*2470, ENVS*2060 - Must be completed prior to taking this course."
CROP*4220,"(1 of CROP*3300, CROP*3310, CROP*3340), (1 of AGR*2320, ENVS*3080, ENVS*4090, ENVS*4160) - Must be completed prior to taking this course."
CROP*4240,AGR*2470 - Must be completed prior to taking this course.
CROP*4260,12.50 credits including AGR*2470 - Must be completed prior to taking this course.
CTS*2010,2.00 credits or CTS*1000 - Must be completed prior to taking this course.
CTS*3000,"CTS*1000, (CTS*2000 or CTS*2010) - Must be completed prior to taking this course."
CTS*3010,"CTS*1000, (CTS*2000 or CTS*2010) - Must be completed prior to taking this course."
CTS*3030,"CTS*2000, CTS*2010 - Must be completed prior to taking this course."
CTS*4000,10.00 credits or 1.50 credits in CTS - Must be completed prior to taking this course.
CTS*4020,Take CTS*4010 - Must be completed prior to taking this course.
CTS*4030,"10.00 credits including CTS*2000, CTS*2010 - Must be completed prior to taking this course."
DATA*6600,DATA*6200 and DATA*6300 - Must be completed prior to taking this course.
ECS*1030,ECS*1000 - Must be completed prior to taking this course.
ECS*2000,"ECS*1010, (AHSS*2040 or ECS*1050) - Must be completed prior to taking this course."
